               Точка             Функция    Произ. аналит. 1    Произ. аналит. 2    Произ. аналит. 3      Произ. числ. 1      Произ. числ. 2      Произ. числ. 3
    0.00000000000000    0.00000000000000    1.00000000000000   -0.00000000000000   -1.00000000000000    1.07623116960892    0.00000000000000    0.00000000000000
    0.50000000000000    0.47942553860420    0.87758256189037   -0.47942553860420   -0.87758256189037    0.84147098480790   -0.46952036960204    0.00000000000000
    1.00000000000000    0.84147098480790    0.54030230586814   -0.84147098480790   -0.54030230586814    0.51806944799985   -0.82408577763014   -0.50736587669608
    1.50000000000000    0.99749498660405    0.07073720166770   -0.99749498660405   -0.07073720166770    0.06782644201779   -0.97688624629812   -0.06642511414327
    2.00000000000000    0.90929742682568   -0.41614683654714   -0.90929742682568    0.41614683654714   -0.39902284250010   -0.89051089177341    0.39077883300867
    2.50000000000000    0.59847214410396   -0.80114361554693   -0.59847214410396    0.80114361554693   -0.76817741876581   -0.58610741328946    0.75230649295182
    3.00000000000000    0.14112000805987   -0.98999249660045   -0.14112000805987    0.98999249660045   -0.94925537179358   -0.13820439882159    0.92964328581417
    3.50000000000000   -0.35078322768962   -0.93645668729080    0.35078322768962    0.93645668729080   -0.89792250336780    0.34353587252471    0.87937097986615
    4.00000000000000   -0.75680249530793   -0.65364362086361    0.75680249530793    0.65364362086361   -0.62674688997548    0.74116658104456    0.00000000000000
    4.50000000000000   -0.97753011766510   -0.21079579943078    0.97753011766510    0.21079579943078   -0.44145524471434    0.00000000000000    0.00000000000000
