               Точка    Функция с возмущением            Разность по 1       Разность по 2       Разность по 3
    0.00000000000000         0.02100000000000         0.22600000000000    0.00000000000000    0.00000000000000
    0.50000000000000         0.43342553860420         0.04200000000000    0.36800000000000    0.00000000000000
    1.00000000000000         0.82047098480790         0.01000000000000    0.16000000000000    0.35200000000000
    1.50000000000000         0.96149498660405         0.02600000000000    0.01600000000000    0.49600000000000
    2.00000000000000         0.86229742682568         0.06200000000000    0.33600000000000    0.35200000000000
    2.50000000000000         0.62447214410396         0.06200000000000    0.33600000000000    0.45200000000000
    3.00000000000000         0.15612000805987         0.05100000000000    0.11600000000000    0.75200000000000
    3.50000000000000        -0.37578322768962         0.02400000000000    0.41600000000000    0.41600000000000
    4.00000000000000        -0.71780249530793         0.00500000000000    0.53200000000000    0.00000000000000
    4.50000000000000        -1.00753011766510         0.13800000000000    0.00000000000000    0.00000000000000
