               Точка             Функция       Разность по 1       Разность по 2       Разность по 3
    0.00000000000000    0.00000000000000    0.07623116960892    0.00000000000000    1.00000000000000
    0.50000000000000    0.47942553860420    0.03611157708248    0.00990516900216    0.87758256189037
    1.00000000000000    0.84147098480790    0.02223285786829    0.01738520717775    0.03293642917206
    1.50000000000000    0.99749498660405    0.00291075964992    0.02060874030593    0.00431208752444
    2.00000000000000    0.90929742682568    0.01712399404704    0.01878653505227    0.02536800353848
    2.50000000000000    0.59847214410396    0.03296619678112    0.01236473081450    0.04883712259511
    3.00000000000000    0.14112000805987    0.04073712480687    0.00291560923828    0.06034921078627
    3.50000000000000   -0.35078322768962    0.03853418392300    0.00724735516490    0.05708570742465
    4.00000000000000   -0.75680249530793    0.02689673088813    0.01563591426337    0.65364362086361
    4.50000000000000   -0.97753011766510    0.23065944528356    0.97753011766510    0.21079579943078
